iteration: 10, loss: 0.3967, scmap loss: 0.3181, locref loss: 0.0147, limb loss: 0.0639, lr: 0.0001
iteration: 20, loss: 0.0624, scmap loss: 0.0401, locref loss: 0.0058, limb loss: 0.0165, lr: 0.0001
iteration: 30, loss: 0.0424, scmap loss: 0.0325, locref loss: 0.0029, limb loss: 0.0070, lr: 0.0001
iteration: 40, loss: 0.0318, scmap loss: 0.0243, locref loss: 0.0022, limb loss: 0.0053, lr: 0.0001
iteration: 50, loss: 0.0294, scmap loss: 0.0243, locref loss: 0.0014, limb loss: 0.0036, lr: 0.0001
iteration: 60, loss: 0.0283, scmap loss: 0.0242, locref loss: 0.0012, limb loss: 0.0029, lr: 0.0001
iteration: 70, loss: 0.0262, scmap loss: 0.0227, locref loss: 0.0010, limb loss: 0.0025, lr: 0.0001
iteration: 80, loss: 0.0239, scmap loss: 0.0211, locref loss: 0.0008, limb loss: 0.0020, lr: 0.0001
iteration: 90, loss: 0.0208, scmap loss: 0.0185, locref loss: 0.0007, limb loss: 0.0016, lr: 0.0001
iteration: 100, loss: 0.0228, scmap loss: 0.0205, locref loss: 0.0006, limb loss: 0.0016, lr: 0.0001
iteration: 110, loss: 0.0199, scmap loss: 0.0179, locref loss: 0.0006, limb loss: 0.0015, lr: 0.0001
iteration: 120, loss: 0.0223, scmap loss: 0.0200, locref loss: 0.0007, limb loss: 0.0016, lr: 0.0001
iteration: 130, loss: 0.0239, scmap loss: 0.0215, locref loss: 0.0007, limb loss: 0.0017, lr: 0.0001
iteration: 140, loss: 0.0195, scmap loss: 0.0176, locref loss: 0.0006, limb loss: 0.0013, lr: 0.0001
iteration: 150, loss: 0.0196, scmap loss: 0.0177, locref loss: 0.0005, limb loss: 0.0014, lr: 0.0001
iteration: 160, loss: 0.0185, scmap loss: 0.0168, locref loss: 0.0005, limb loss: 0.0013, lr: 0.0001
iteration: 170, loss: 0.0217, scmap loss: 0.0202, locref loss: 0.0005, limb loss: 0.0010, lr: 0.0001
iteration: 180, loss: 0.0212, scmap loss: 0.0195, locref loss: 0.0005, limb loss: 0.0012, lr: 0.0001
iteration: 190, loss: 0.0216, scmap loss: 0.0196, locref loss: 0.0006, limb loss: 0.0014, lr: 0.0001
iteration: 200, loss: 0.0154, scmap loss: 0.0138, locref loss: 0.0004, limb loss: 0.0012, lr: 0.0001
iteration: 210, loss: 0.0180, scmap loss: 0.0164, locref loss: 0.0005, limb loss: 0.0011, lr: 0.0001
iteration: 220, loss: 0.0166, scmap loss: 0.0151, locref loss: 0.0005, limb loss: 0.0010, lr: 0.0001
iteration: 230, loss: 0.0145, scmap loss: 0.0131, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 240, loss: 0.0178, scmap loss: 0.0159, locref loss: 0.0005, limb loss: 0.0014, lr: 0.0001
iteration: 250, loss: 0.0159, scmap loss: 0.0144, locref loss: 0.0004, limb loss: 0.0011, lr: 0.0001
iteration: 260, loss: 0.0136, scmap loss: 0.0122, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 270, loss: 0.0147, scmap loss: 0.0132, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 280, loss: 0.0142, scmap loss: 0.0128, locref loss: 0.0004, limb loss: 0.0009, lr: 0.0001
iteration: 290, loss: 0.0125, scmap loss: 0.0112, locref loss: 0.0004, limb loss: 0.0009, lr: 0.0001
iteration: 300, loss: 0.0132, scmap loss: 0.0118, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 310, loss: 0.0114, scmap loss: 0.0101, locref loss: 0.0004, limb loss: 0.0008, lr: 0.0001
iteration: 320, loss: 0.0114, scmap loss: 0.0103, locref loss: 0.0004, limb loss: 0.0007, lr: 0.0001
iteration: 330, loss: 0.0131, scmap loss: 0.0116, locref loss: 0.0004, limb loss: 0.0011, lr: 0.0001
iteration: 340, loss: 0.0125, scmap loss: 0.0111, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 350, loss: 0.0104, scmap loss: 0.0092, locref loss: 0.0004, limb loss: 0.0009, lr: 0.0001
iteration: 360, loss: 0.0115, scmap loss: 0.0103, locref loss: 0.0004, limb loss: 0.0008, lr: 0.0001
iteration: 370, loss: 0.0120, scmap loss: 0.0106, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 380, loss: 0.0112, scmap loss: 0.0098, locref loss: 0.0004, limb loss: 0.0010, lr: 0.0001
iteration: 390, loss: 0.0100, scmap loss: 0.0087, locref loss: 0.0004, limb loss: 0.0008, lr: 0.0001
