scorer,,,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab
bodyparts,,,Head,Head,Tail_B,Tail_B,Tail_E,Tail_E
coords,,,x,y,x,y,x,y
labeled-data,df1s3_v1,img0045.png,228.99630469980127,131.75682303262903,243.1504866224461,164.2693993301894,249.03638405562515,137.0821588055053
labeled-data,df1s3_v1,img0188.png,185.38291469573215,145.14609308971524,167.83351271693536,97.67034247339126,154.3481827753336,73.65537134451141
labeled-data,df1s3_v1,img0407.png,208.94131352793573,91.81361972662344,177.4766053340095,121.1523341236628,152.6733443703289,140.28627829564496
labeled-data,df1s3_v1,img0528.png,183.1899138741301,190.5519220002298,197.25969304678614,224.91180376924245,217.54979564314277,219.87630385481822
labeled-data,df1s3_v1,img0567.png,196.8199961244673,112.40867105119418,189.997705917828,162.6283072945115,178.05869805620915,191.24402455013762
labeled-data,df1s3_v1,img0629.png,271.38525923226905,97.69849795678375,249.92625817380386,56.25197019814805,228.22201138895616,68.26901079088859
labeled-data,df1s3_v1,img0757.png,307.04176152668464,144.06712336896257,282.0744725771769,101.21282144070288,264.560105702149,76.43185554305705
labeled-data,df1s3_v1,img1094.png,378.6053507139613,242.3388376856027,335.07264177635795,262.29132928200426,303.7034838654379,269.11998950751064
labeled-data,df1s3_v1,img1189.png,337.1376834595685,269.342327979706,388.290998838189,274.3464566580493,414.42367082509304,264.3381993013627
labeled-data,df1s3_v1,img1521.png,256.3670431729798,328.98808630317615,279.32777617935835,285.8280234692968,296.326171526153,258.16621653901535
labeled-data,df1s3_v1,img1573.png,269.5097731954751,261.16068278319244,254.15962023053658,304.17901269727935,251.50650737239903,329.9521090334724
labeled-data,df1s3_v1,img1666.png,250.50502972741668,128.2286129075796,271.38276656426115,173.79654287321407,289.53732033543025,200.48373691683264
labeled-data,df1s3_v1,img1804.png,222.42689906654454,273.48184400169436,222.42689906654454,217.7441789147717,225.81097158967913,191.8659772672719
labeled-data,df1s3_v1,img1900.png,214.05773457891172,343.9257964715186,209.91722231531176,294.73651077995095,206.27357152334378,264.2623405198551
labeled-data,df1s3_v1,img2279.png,210.22926963330093,178.94687830276456,174.34536085034011,147.7735984720071,143.4491768403005,140.56910713334315
labeled-data,df1s3_v1,img2333.png,215.69443647721167,233.44436441645604,224.95325890050793,183.88243262116436,212.42661679840126,159.37378503008605
labeled-data,df1s3_v1,img2458.png,229.44246440438695,289.43980824188225,206.05175512448062,246.6332814551256,218.43507180207808,223.24257217521927
labeled-data,df1s3_v1,img2498.png,223.9653489975863,342.87802391816746,240.03053658035418,296.0074250942158,235.89002431675425,272.8205564180559
labeled-data,df1s3_v1,img2758.png,261.5330090363253,317.3207915963324,293.15219018777816,358.47111347764906,315.39151855746036,376.6256672488182
labeled-data,df1s3_v1,img3191.png,272.2646359574811,353.72009860582847,229.9071955008534,360.05508236913647,245.18568575353729,335.8330856270766
labeled-data,df1s3_v10,img0018.png,185.4413699701183,302.2508398363095,158.8592812378065,343.3167589676374,129.55082443038577,357.2893953525705
labeled-data,df1s3_v10,img0108.png,162.8821412435624,235.0647698158631,189.8273210512976,279.5912016967304,189.06291878724835,317.0469126351425
labeled-data,df1s3_v10,img0340.png,152.4200979002494,79.31167737267381,134.54741746394842,127.58845786153273,122.83773028154438,166.62074846954633
labeled-data,df1s3_v10,img0461.png,93.7707676575196,38.36712302581094,135.233220463323,65.91108460705135,163.65624464822002,85.25046188749675
labeled-data,df1s3_v10,img0707.png,109.27961212497942,102.45225193671723,91.82257541975525,152.61615051494763,81.58914010979626,184.52039001070216
labeled-data,df1s3_v10,img0717.png,114.23306221513397,90.30943532144626,101.20000361309468,141.05937563544774,90.14165085984922,174.4319044800635
labeled-data,df1s3_v10,img0873.png,274.94967621142007,46.29573844230556,229.9125181063302,29.05929521690082,195.9956459531144,43.0708555162621
labeled-data,df1s3_v10,img0962.png,334.29982272675454,120.06157986800602,329.25476778402964,72.13355791211958,299.4574120285608,52.110996108180174
labeled-data,df1s3_v10,img1011.png,318.17184387738286,165.2828852569885,339.9652709263696,117.11758009830345,352.60179585393337,79.20800531561218
labeled-data,df1s3_v10,img1040.png,313.6048313799257,182.71592291613092,330.3197608871355,136.03642465819158,355.3921551479501,100.5681596063075
labeled-data,df1s3_v10,img1146.png,307.2449460184879,291.2487502747075,303.80513583026635,245.45627714400857,311.9746850272925,209.76824644121035
labeled-data,df1s3_v10,img1230.png,259.05619640348874,340.90400284640185,292.2981398613294,308.59845216202143,316.33222104681045,281.13093080718596
labeled-data,df1s3_v10,img1367.png,153.80455619309612,372.1078736664911,203.31717364439103,346.0754665529237,238.79270882856625,337.52560735385987
labeled-data,df1s3_v10,img1701.png,201.68275944102072,268.1314262795291,218.45183410860062,320.803519786671,230.70615790413973,360.7913132247461
labeled-data,df1s3_v10,img2335.png,287.39495718255966,347.0338720021899,316.64926882961026,307.6193802621517,337.670331090964,273.4601540874519
labeled-data,df1s3_v10,img2567.png,251.2881427098988,415.64188336096686,202.4135744525639,414.74861448942283,168.9797966890606,419.59778836351876
labeled-data,df1s3_v10,img2789.png,278.8310361362111,173.8237110036822,287.40189652186297,226.1279359212504,291.3576782383177,264.58692483122707
labeled-data,df1s3_v10,img2831.png,262.1454011513925,149.43426239065406,286.5393884028634,187.43938745635148,288.8373727091614,221.90915205082123
labeled-data,df1s3_v10,img3289.png,178.06803702347014,50.11914211260199,222.88643540491657,56.586226442810705,266.8024499263339,51.923909832660236
labeled-data,df1s3_v10,img3417.png,66.9114360712918,41.86000655638949,111.75717941819363,63.18907961162331,150.04013105579278,54.5754154931635
labeled-data,df1s3_v2,img0138.png,323.05155387345735,409.8860967062318,272.12064421387424,398.2097964567641,245.87676936745152,396.8753621425392
labeled-data,df1s3_v2,img0243.png,311.0588873210818,358.32041475630126,343.4982084016708,394.7760327325822,347.2055593823095,422.58116508737277
labeled-data,df1s3_v2,img0742.png,337.4131817899498,346.33638678633935,293.842252739144,372.35791385834835,266.15655823811113,383.70450996532907
labeled-data,df1s3_v2,img1113.png,270.01827348782956,293.2621858382131,254.34802707482044,264.4697005590256,259.698842923165,292.11558244213927
labeled-data,df1s3_v2,img1158.png,249.35941248988877,348.0047902779098,268.1031930062625,303.1901150433072,287.5285655414134,278.65280236732707
labeled-data,df1s3_v2,img1301.png,312.09854966263913,357.0823373073596,267.2473373226462,342.77727437877667,237.13141536773486,333.6349409281786
labeled-data,df1s3_v2,img1410.png,274.09245912435466,305.9860118743502,308.3520130962109,338.63713608226954,331.5134016969024,360.6726238482052
labeled-data,df1s3_v2,img1572.png,269.8514868857067,352.52151585579924,238.11446038521296,325.27694516131146,239.85347553592493,302.66974820205564
labeled-data,df1s3_v2,img1601.png,289.7133988044493,369.0162656608685,245.29525724432222,345.6574064752976,226.8986427562042,324.47709374226696
labeled-data,df1s3_v2,img2154.png,320.3082542476222,349.02544247593437,359.4265401103413,381.9074798677852,381.11167683858775,401.32488987935227
labeled-data,df1s3_v2,img2218.png,325.61823708065026,321.0265341472073,344.33335251212213,367.23465100898295,351.4550336055141,396.21823685418275
labeled-data,df1s3_v2,img2376.png,255.83531500495266,320.26552391820485,278.08897591708575,365.0977167046919,269.9672018615627,391.7371356068074
labeled-data,df1s3_v2,img2432.png,239.30760751851764,277.22421416105493,251.45841850746677,326.6953731874907,262.5677314116489,353.0799913349231
labeled-data,df1s3_v2,img2628.png,315.1916934543572,333.1112880405048,317.1886943691858,379.40540015698605,317.3702399068975,408.6342317285683
labeled-data,df1s3_v2,img2764.png,291.1716900105724,337.6415180583926,307.86113944231374,317.3848580610881,312.0653518945845,353.0569637167186
labeled-data,df1s3_v2,img2853.png,347.32195634831055,363.5113590561294,302.8289670664953,372.9007668662007,298.8811478736244,346.2263128603163
labeled-data,df1s3_v2,img2889.png,321.86903706668573,339.3291908570359,348.1485499028114,378.4538467386221,320.1013568310719,385.2888769829956
labeled-data,df1s3_v2,img3040.png,304.25626016830654,317.2717902261975,335.4136149518963,354.9504518249572,348.6011465114622,384.078955599383
